Mini-Loihi V7.1C production lint
tool=C:\tool\oss-cad-suite\bin\verilator_bin.exe
fallback_used=True
v7_0 PASS diagnostics=110
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:668:29: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:669:36: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:669:21: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:672:46: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:674:43: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:676:52: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:677:30: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  UNUSEDSIGNAL | unused or generated connectivity | allowed=True | %Warning-UNUSEDSIGNAL: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:80:60: Signal is not driven, nor used: 'neuron_model_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:81:34: Signal is not driven: 'neuron_threshold_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:82:34: Signal is not driven: 'neuron_reset_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:83:34: Signal is not driven: 'neuron_leak_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:84:34: Signal is not driven: 'neuron_voltage_init_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:90:33: Signal is not driven: 'axon_ptr_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:91:33: Signal is not driven: 'axon_len_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:92:36: Signal is not driven: 'synapse_target_mem'
  UNDRIVEN | unused or generated connectivity | allowed=True | %Warning-UNDRIVEN: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:93:35: Signal is not driven: 'synapse_weight_mem'
